Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PATCH,/constructor-be/anket/5010388,1,0,188.19225000333972,188.19225000333972,188.19225000333972,188.19225000333972,2498.0,0.0006663087926396316,0.0,190,190,190,190,190,190,190,190,190,190,190
PATCH,/constructor-be/anket/5010389,1,0,95.98737499618437,95.98737499618437,95.98737499618437,95.98737499618437,2476.0,0.0006663087926396316,0.0,96,96,96,96,96,96,96,96,96,96,96
PATCH,/constructor-be/anket/5010391,1,0,154.63912500126753,154.63912500126753,154.63912500126753,154.63912500126753,2392.0,0.0006663087926396316,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/constructor-be/anket/5010395,1,0,167.1814169967547,167.1814169967547,167.1814169967547,167.1814169967547,2430.0,0.0006663087926396316,0.0,170,170,170,170,170,170,170,170,170,170,170
PATCH,/constructor-be/anket/5010399,1,0,124.15287499607075,124.15287499607075,124.15287499607075,124.15287499607075,2356.0,0.0006663087926396316,0.0,120,120,120,120,120,120,120,120,120,120,120
PATCH,/constructor-be/anket/5010401,1,0,145.08287500939332,145.08287500939332,145.08287500939332,145.08287500939332,2426.0,0.0006663087926396316,0.0,150,150,150,150,150,150,150,150,150,150,150
PATCH,/constructor-be/anket/5010402,1,0,207.93608301028144,207.93608301028144,207.93608301028144,207.93608301028144,2336.0,0.0006663087926396316,0.0,210,210,210,210,210,210,210,210,210,210,210
PATCH,/constructor-be/anket/5010405,1,0,196.45487499656156,196.45487499656156,196.45487499656156,196.45487499656156,2455.0,0.0006663087926396316,0.0,200,200,200,200,200,200,200,200,200,200,200
PATCH,/constructor-be/anket/5010407,1,0,132.50524998875335,132.50524998875335,132.50524998875335,132.50524998875335,2355.0,0.0006663087926396316,0.0,130,130,130,130,130,130,130,130,130,130,130
PATCH,/constructor-be/anket/5010408,1,0,180.13841701031197,180.13841701031197,180.13841701031197,180.13841701031197,2327.0,0.0006663087926396316,0.0,180,180,180,180,180,180,180,180,180,180,180
PATCH,/constructor-be/anket/5010411,1,0,219.13104101258796,219.13104101258796,219.13104101258796,219.13104101258796,2512.0,0.0006663087926396316,0.0,220,220,220,220,220,220,220,220,220,220,220
PATCH,/constructor-be/anket/5010413,1,0,116.5704589948291,116.5704589948291,116.5704589948291,116.5704589948291,2498.0,0.0006663087926396316,0.0,120,120,120,120,120,120,120,120,120,120,120
PATCH,/constructor-be/anket/5010415,1,0,334.0479159960523,334.0479159960523,334.0479159960523,334.0479159960523,2365.0,0.0006663087926396316,0.0,330,330,330,330,330,330,330,330,330,330,330
PATCH,/constructor-be/anket/5010416,1,0,326.1104580014944,326.1104580014944,326.1104580014944,326.1104580014944,2490.0,0.0006663087926396316,0.0,330,330,330,330,330,330,330,330,330,330,330
PATCH,/constructor-be/anket/5010423,1,0,336.0757500049658,336.0757500049658,336.0757500049658,336.0757500049658,2553.0,0.0006663087926396316,0.0,340,340,340,340,340,340,340,340,340,340,340
PATCH,/constructor-be/anket/5010429,1,0,478.0050000117626,478.0050000117626,478.0050000117626,478.0050000117626,2265.0,0.0006663087926396316,0.0,480,480,480,480,480,480,480,480,480,480,480
PATCH,/constructor-be/anket/5010430,1,0,495.44800000148825,495.44800000148825,495.44800000148825,495.44800000148825,2336.0,0.0006663087926396316,0.0,500,500,500,500,500,500,500,500,500,500,500
PATCH,/constructor-be/anket/5010431,1,0,550.3114579914836,550.3114579914836,550.3114579914836,550.3114579914836,2455.0,0.0006663087926396316,0.0,550,550,550,550,550,550,550,550,550,550,550
